,subject,config,activity,dev_rr,ref_rr,error,spi_ip,spi_gyr,spi_ref
164,subject_1,patch,walking,20.762470495319423,16.853710659529032,3.9087598357903914,0.7068857886178346,,0.5741990494679218
165,subject_1,patch,walking,20.69820305216728,18.730539597441528,1.967663454725752,0.699902411581623,,0.6970856015631499
166,subject_1,patch,walking,21.127154979424557,20.739576536330535,0.38757844309402145,0.6805838569958281,,0.77619158433729
167,subject_1,patch,walking,20.772734513938687,20.817990305126543,0.04525579118785572,0.6588847397136306,,0.777534746005149
168,subject_1,patch,walking,20.641469318751344,20.77778857998174,0.13631926123039406,0.7447780775128071,,0.8355519837569381
169,subject_1,patch,walking,21.08389435989192,21.604817631339174,0.520923271447252,0.7987149114692575,,0.8171652317238328
170,subject_3,patch,walking,19.415606083049422,19.11577362300773,0.2998324600416922,0.5956308427699777,,0.5532766851276508
171,subject_3,patch,walking,19.441081577552374,19.489807019691288,0.048725442138913166,0.5579039783341477,,0.5816324103700578
172,subject_3,patch,walking,16.388269807711172,16.75304218146525,0.36477237375407867,0.5582364008912742,,0.5691932841595477
173,subject_3,patch,walking,18.811698763732522,15.403283750024542,3.4084150137079803,0.6056495309398212,,0.5595967057865244
174,subject_3,patch,walking,19.170646500644743,13.73430940800113,5.436337092643614,0.5933114577885688,,0.5048851038265695
175,subject_3,patch,walking,16.07942738371872,13.345999858716024,2.7334275250026963,0.5211722114206315,,0.46744897392082446
176,subject_3,patch,walking,14.943165499895088,14.783381337736605,0.15978416215848235,0.5834884142801584,,0.4743167084186155
177,subject_3,patch,walking,13.922402433344098,16.786540444697568,2.86413801135347,0.6012481787431521,,0.5179442735325164
178,subject_3,patch,walking,14.33156360758311,16.683161162280225,2.351597554697115,0.5508338558234379,,0.5587400013535531
179,subject_3,patch,walking,16.76799216106342,15.235869948869126,1.5321222121942952,0.5066208887982255,,0.6248968268817926
180,subject_4,patch,walking,18.640968075942627,16.987785437525794,1.6531826384168333,0.465942328254221,0.6494721040043582,0.609823517437219
181,subject_4,patch,walking,17.52633785731871,14.982136424998098,2.5442014323206106,0.521924950735938,0.6461025937204667,0.5408964755887434
182,subject_4,patch,walking,17.953798889120613,12.070821803545838,5.882977085574774,0.5232414833137662,0.5303258020296803,0.5485403491875626
183,subject_4,patch,walking,18.46454557061346,12.073448721372005,6.391096849241455,0.485297393357824,0.6296836533391195,0.49742831287992123
184,subject_4,patch,walking,19.488180647747356,13.331399034308216,6.15678161343914,0.497970898207783,0.7743486396935141,0.473786167259872
185,subject_4,patch,walking,19.219506104545818,13.60222073687795,5.6172853676678685,0.44821105989926047,0.7402292808325812,0.48569206962182
186,subject_4,patch,walking,21.47824655894982,16.995361964816457,4.482884594133363,0.4873847086569855,0.7011196766711177,0.528349585429191
187,subject_4,patch,walking,21.59792131616537,17.25195304889204,4.345968267273328,0.5628218691539857,0.6723725111143705,0.49100543474311675
188,subject_4,patch,walking,20.30633353311314,15.395072682119183,4.911260850993957,0.5872918826224267,0.6492541603486706,0.4102886397403035
189,subject_4,patch,walking,19.201768250960818,16.290997675007983,2.910770575952835,0.6715636165536397,0.6119977897055257,0.49987350561919586
